z_bucket,session,n_signals,win_rate,avg_profit,avg_spread
-7.0,Asia,1157,0.2566983578219533,-0.024987035436473633,0.013171996542783063
-7.0,EU,2235,0.2348993288590604,-0.0840447427293065,0.01241610738255034
-7.0,US,1730,0.4254335260115607,0.04508670520231214,0.011618497109826589
-6.0,Asia,3463,0.3320820098180768,-0.01339301183944557,0.013944556742708631
-6.0,EU,2656,0.21197289156626506,-0.11678350903614458,0.01552710843373494
-6.0,US,3219,0.3501087294190742,-0.060385212799005904,0.015312208760484622
-5.0,Asia,7506,0.2434052757793765,-0.11298161470823341,0.013130828670397016
-5.0,EU,8603,0.3727769382773451,0.03461583168662094,0.013164012553760316
-5.0,US,6859,0.2647616270593381,-0.06759615104242601,0.012920250765417701
-4.0,Asia,12406,0.20538449137514106,-0.09810841528292762,0.014468805416733838
-4.0,EU,9135,0.2813355227148331,-0.07186754241926656,0.015528626163108922
-4.0,US,13683,0.43075348973178396,0.02062193963312139,0.013770371994445663
-3.0,Asia,23270,0.3754189944134078,0.0025844434894714244,0.012951869359690588
-3.0,EU,31126,0.36811668701407185,-0.03726331684122598,0.013818029942813084
-3.0,US,19548,0.4576938817270309,0.02428667894413751,0.013768518518518515
-2.0,Asia,55420,0.37944785276073617,-0.030923655719956693,0.013258390472753519
-2.0,EU,83838,0.35598415992747917,-0.01757692215940266,0.013499009995467449
-2.0,US,71411,0.36813656159415215,-0.03930444889442803,0.013607007323801655
-1.0,Asia,285482,0.4022845573451216,-0.02418224266468611,0.012698082541806347
-1.0,EU,355406,0.38546619922004693,-0.034257806564886355,0.013099714129755828
-1.0,US,382600,0.39656037637219027,-0.02524203606900157,0.013112190277051752
1.0,Asia,271481,0.5849912148548149,0.01237219915942552,0.012398289383050747
1.0,EU,366272,0.5294016468635331,0.00018828903110256666,0.0131614483225581
1.0,US,356770,0.5335005745998823,-0.007966289205930996,0.013068626846427669
2.0,Asia,54650,0.5892223238792315,0.02153535224153705,0.01271747483989021
2.0,EU,69204,0.5611380845037859,-0.019373013120628866,0.013678587942893474
2.0,US,64044,0.5196271313471988,-0.02823188745237649,0.01350612079195553
3.0,Asia,22740,0.6021987686895338,-0.022960422163588394,0.013201846965699208
3.0,EU,16224,0.5383999013806706,0.019019292406311634,0.014466839250493094
3.0,US,21470,0.6003726129482999,-0.008495342338146252,0.013491383325570563
4.0,Asia,12587,0.4943989830777787,-0.08446627472789385,0.013015015492174462
4.0,EU,12443,0.6492807200835812,0.039238286586835966,0.013499156152053363
4.0,US,10023,0.4485682929262696,-0.09818617180484884,0.014941634241245132
5.0,Asia,6089,0.7254064706848415,0.06938134340614224,0.013207423222203972
5.0,EU,9199,0.4901619741276226,-0.05685291879552126,0.01530818567235569
5.0,US,6543,0.562585969738652,0.040423353201895156,0.015717560751948644
6.0,Asia,2046,0.9682306940371457,0.23987781036168132,0.014872922776148585
6.0,EU,2218,0.8809738503155996,0.19659107303877366,0.01511722272317403
6.0,US,4648,0.6273666092943201,0.006030550774526679,0.016211273666092943
7.0,Asia,3878,0.6854048478597216,0.063485559566787,0.013687467766890154
7.0,EU,3784,0.7687632135306554,0.1327431289640592,0.01598044397463002
7.0,US,4006,0.6747378931602596,-0.043228157763354966,0.013182725911133304
