epoch_ts,slug,direction,edge,P_model,strike,spot_entry,resolution_price,outcome,pnl_pct
1775762100,btc-updown-5m-1775762100,BUY_YES,0.067075,0.597075,72037.16,72057.25,71983.19,LOSS,-100.0
1775764800,btc-updown-5m-1775764800,BUY_NO,0.060543,0.409457,72114.96,72096.32,72075.11,WIN,100.0
1775766300,btc-updown-5m-1775766300,BUY_NO,0.068369,0.401631,72339.32,72318.97,72267.22,WIN,100.0
1775767200,btc-updown-5m-1775767200,BUY_NO,0.050676,0.419324,72400.42,72383.78,72422.65,LOSS,-100.0
1775768700,btc-updown-5m-1775768700,BUY_NO,0.057031,0.412969,72475.48,72457.49,72461.54,WIN,100.0
1775769000,btc-updown-5m-1775769000,BUY_NO,0.104226,0.365774,72308.42,72280.40,72330.33,LOSS,-100.0
1775774400,btc-updown-5m-1775774400,BUY_NO,0.055808,0.414192,72369.06,72351.36,72304.58,WIN,100.0
1775776800,btc-updown-5m-1775776800,BUY_YES,0.054834,0.584834,71828.53,71846.00,71809.56,LOSS,-100.0
