market_id,signal_type,total_bet_usd,net_pnl_usd,vwap_entry_price,avg_P_model,avg_live_edge,avg_TTR_minutes,distance_to_strike_bps,is_coinflip,target_win
0x01895ef8b32734abc2935036bf02b5fe73e9584d8b4e9b8f79850c07579dd3ec,BUY_NO,3.03,-3.03275427,0.46,0.3109540593150927,0.2054466156182406,3.376664316666667,-5.129514212488893,False,0
0x01b472af3df65af716c4b6d8c4fe3bfaa01dd8bdd33a774bb9102ea35dacb0b8,BUY_NO,106.3,-109.68990699999999,0.6199999999999999,0.0879886412180115,0.2686898854562741,3.98448395,-8.06342744888964,False,0
0x0207d59c5a9a3fbd1a00336c858c21aa71d507553d4c02d414f9182fb59167d2,BUY_NO,18.57,-18.673453470000002,0.13,0.5828692407552228,0.2637465268943009,3.847164333333333,1.2807833952946517,True,0
0x023ef618bdfca746de48f641da5efe21b11205283178c24e74dfc6b8b8ae7bcd,BUY_NO,51.67,-52.47093667,0.36,0.3147144105145474,0.3019014543921192,3.84744375,-2.8193755809148255,False,0
0x0256f26843d6e6f4d987430bf4becc17e227bfc0f780865a478161ca61b24eb0,BUY_NO,4.81,7.208059169999999,0.4,0.335764281792462,0.2409146940094427,3.9854990666666663,-4.471541692948544,False,1
0x02f042082b485e232943fd606f3e0286d1a2543e48d2a68ec8c59258fc4224e5,BUY_NO,4.27,5.429075584545454,0.44,0.3887787090980972,0.1478736758466647,3.9273366,-2.1671388344916167,False,1
0x049fcc93319a1f2183d05cfa6c1d2286eb1681999e17a0a8ce93ee4675f9ce26,BUY_NO,1.5,-1.500675,0.34,0.4941209582497543,0.1425092005921504,3.8786788166666666,-0.12951537256989176,True,0
0x04eb2bba3f4b070827f0cc8f8da288b09abc1ae875424736ed66386604ec5337,BUY_NO,1.0,-1.0003,0.41,0.5272090827210956,0.0312159838857615,3.837241266666666,0.8897567394165802,True,0
0x082eb4aa10b8a3d742c7fea39659275e043e208d099204fa9eb7222bbe78cbdc,BUY_NO,40.4,-40.889648,0.65,0.1350797458122493,0.1914601444277506,3.681295983333333,-6.373394304717827,False,0
0x087fdd22b4a83850eb9239cba045862fc7178e2306c6757a1ca40ee258b8927e,BUY_NO,1.0,-1.0003,0.39,0.5539827380799166,0.0326982343162738,3.9898903833333335,1.4396747065032796,True,0
0x09d8db09b6a826b7623bc38ff46adc28db32762ea79da5cb5e7ffa2fdf38423b,BUY_NO,2.72,-2.7222195200000003,0.58,0.3308329229296526,0.0658490971084426,3.9921623,-3.2390800474752766,False,0
0x09d942192e2387bdff9670451853b4f152a624187bf476452f623756d12107b6,BUY_NO,1.0,-1.0003,0.36,0.5458783801958265,0.0707737829965545,3.9270164,1.323565752477915,True,0
0x0b927f62c9fc9619b23513d291154a96ce7e9befa2bab52b7ecee823f1b87f8c,BUY_NO,521.07,667.4658571428573,0.42,0.2952668582495859,0.2614181265123189,3.99869265,-3.408000099981141,False,1
0x0c89bd4e9d33254dc2be836324a3d705b719c9c0660450b9fe459a770b6febd0,BUY_NO,31.59,-31.88937843,0.57,0.1275657356866778,0.2790481128923698,3.842989316666667,-6.650736217742745,False,0
0x0f181c9b7bf2708f4ef79847d1a4ea00183302c3fbb52b022bbfc8e0a61c703b,BUY_NO,163.98,237.90316787999996,0.4,0.2688798272217564,0.3077824749953864,3.9491573166666663,-3.6242482963947906,False,1
0x0f1d75a7ba1f4b58a11f8ee1b1294ecdfdac731019f9292fc428dfd9f032758d,BUY_NO,1.0,-1.0003,0.54,0.4048656035228945,0.0317802519818672,3.9131009166666666,-2.314266304756414,True,0
0x14ac9163dd2423361ce547ae0f124aa1d06741a72d6295d622c2e203df1fa445,BUY_NO,437.85,-481.63500000000005,0.30999999999999994,0.4983629538836485,0.1681821480744467,3.692705283333333,-0.02310517991647364,True,0
0x17def2ee79df08f788d99d7ddb99afb059b2cb362d833d86f6e9851f196e928a,BUY_NO,4.83,-4.83699867,0.22,0.5416063674763842,0.2150049493236157,3.8374897833333335,0.7631667183222188,True,0
0x198816e903b7920751944df45218112f3d92c4cdcea347da08a4222e46d18503,BUY_NO,33.05,-33.37769075,0.41,0.2568136777404164,0.3098024860233931,3.84810895,-3.8175336155259703,False,0
0x1bcef73d7069bf23519353b9626ddd223e16f9aed2b6f4bbec72121bf51f24a7,BUY_NO,1.0,-1.0003,0.71,0.236693549873233,0.029772017334386,3.5186946666666667,-7.954796524234266,False,0
0x1db296f536f8ca5c9b6c5136752a05007069e11c8f5201124be1b37191f6cd30,BUY_NO,84.9,-87.062403,0.27,0.4887407615664041,0.2178897452069292,3.8794403,-0.17492546981194168,True,0
0x1f73b07b5757f99dc3ca65715acc48b5bf2358e7a42fd0928a002451f9ec1bab,BUY_NO,81.18,38.00712138447761,0.67,0.1900793142697872,0.1165516251816413,3.88037395,-5.490081188075681,False,1
0x20939474af277107112b1d0f8ac99d525130ca270ca18a69abef09de2c10948e,BUY_NO,10.98,-11.01616812,0.73,0.0612579486600569,0.1853563439266097,3.8439715,-11.310314840957709,False,0
0x20c0e157aec7ca7ddd93a54bb69b4a00aad81886b17c591babbd9a6ed35f89ab,BUY_NO,302.38,219.97171886181815,0.55,0.2778286275405857,0.1459271936851285,3.96989275,-3.4703458958772466,False,1
0x20dea724cba6a198b20f7dbcecb205eb50f4d2dce505f887327d3aa846a140a3,BUY_NO,114.11,72.16700570333333,0.6,0.2513780552538995,0.1252561716489576,3.887673783333333,-4.082869023781427,False,1
0x210580b867209c7cfb01aaf191b1ce394db1b046c89b0034e8f178552b57fc72,BUY_NO,2.06,1.315776100327869,0.61,0.2669520237302466,0.096676197004039,3.721758983333333,-6.822486722070226,False,1
0x211b4882d0267576b1e20b486ef65ac968c22ccde9a3e9211c7ece387939116c,BUY_NO,8.89,-8.913709630000001,0.41,0.4200492713888387,0.1466234598340184,3.9718422,-1.4271656553126668,True,0
