trade_id,session_id,market_id,timestamp_signal,trigger_timestamp,timestamp_resolution,signal_type,P_model,synthetic_edge,live_edge,entry_price_usdc,bet_size_usd,kelly_fraction,kelly_multiplier,strike_price,btc_price_at_trigger,btc_distance_to_strike,TTR_minutes,btc_at_resolution,outcome,pnl_usd,pnl_pct_capital,capital_before,capital_after,mode
8b18e714-6839-4f74-8db1-ca4ba9d2f64c,2026-04-10_153737,0x234c00ddf9fe95c612855ff4fa222100e9a88b9038295d9c66c860077a598684,2026-04-10T16:12:36.315148+00:00,2026-04-10T16:12:36.413215+00:00,2026-04-10T16:15:05.312470+00:00,BUY_NO,0.7399117708191926,0.07880563257179155,0.07880563257179155,0.14,1.0,0.045817228239413685,1.0,72558.96203926006,72615.01,56.04796073993202,2.394982933333333,72682.65,LOSS,-1.0,-2.0,50.0,49.0,DRY
11815eb6-d166-4d3b-a19b-2e2c8ec63e34,2026-04-10_153737,0x810cb89d412d35e36748dfb65194aed5aca70a5b4fa0f6e12bc4a8ed3c6552d1,2026-04-10T16:16:26.991467+00:00,2026-04-10T16:16:27.087676+00:00,2026-04-10T16:20:05.266351+00:00,BUY_NO,0.4553353527677127,0.04507275813349368,0.04507275813349371,0.46,1.0,0.04173403530879049,0.85,72711.4825358658,72699.83499999999,-11.647535865806276,3.550327633333333,72740.28,LOSS,-1.0,-2.04,49.0,48.0,DRY
63c5754e-4378-49a8-9d0d-3fdea2eef40a,2026-04-10_153737,0x25a4b9634294c6f43dbb2b2da78f2020cc48ea30e99b6a0c5a53d60b6468cf0c,2026-04-10T16:23:17.629856+00:00,2026-04-10T16:23:17.734049+00:00,2026-04-10T16:25:05.254922+00:00,BUY_YES,0.32473454899323895,0.25514484847800084,0.20514484847800085,0.08,1.0,0.11149176547717436,0.7,72760.63949202723,72728.17,-32.469492027230444,1.7064691166666668,72747.21,LOSS,-1.0,-2.08,48.0,47.0,DRY
670521bd-55d1-4c4f-a9b3-e0770819270c,2026-04-10_153737,0xa1906961cf3717b8cb1fa2421848d700fbd8a8b679649df5c5050639bf99bdbb,2026-04-10T16:27:28.173947+00:00,2026-04-10T16:27:28.292306+00:00,2026-04-10T16:30:05.295524+00:00,BUY_NO,0.18642801608773946,0.04539413119295902,0.08539413119295902,0.69,1.0,0.1377324696660629,0.55,72776.32102745977,72698.81,-77.51102745976823,2.5306982166666665,72785.33,LOSS,-1.0,-2.13,47.0,46.0,DRY
b94bd1fd-6187-410d-b327-d07928548775,2026-04-10_153737,0x5c7ca92fba399cb6a1237cdc0dddf479ad64054eabbe604cda5f6ec68ea7967c,2026-04-10T16:32:39.508410+00:00,2026-04-10T16:32:39.629438+00:00,2026-04-10T16:35:05.245662+00:00,BUY_NO,0.2364610796321761,0.08622663310077625,0.06622663310077626,0.66,1.0,0.09739210750114151,0.4,72792.2642667955,72734.475,-57.78926679548749,2.3418454333333334,72789.32,WIN,0.5152,1.12,46.0,46.52,DRY
fa1926d4-fd4e-45cf-8447-c35d74915d38,2026-04-10_153737,0xb286d8551616cbe87aea00b5709ae75e0c2ab7f3f7cea533521cf99ea6edce11,2026-04-10T16:37:50.880960+00:00,2026-04-10T16:37:50.980990+00:00,2026-04-10T16:40:05.259323+00:00,BUY_NO,0.28237436848340836,0.041185667899321786,0.051185667899321774,0.63,1.0,0.06916982148557,1.0,72797.04450770552,72752.295,-44.749507705520955,2.1522228333333335,72713.87,WIN,0.5873,1.26,46.515151515151516,47.1,DRY
885a43f8-bfc1-4912-8758-1f9afcbe3109,2026-04-10_153737,0x819754b3350bcc0a88adeaf7d6bbb6a9867f576fbcd88454892621ce64e5f164,2026-04-10T16:43:18.008072+00:00,2026-04-10T16:43:18.132358+00:00,2026-04-10T16:45:05.259324+00:00,BUY_NO,0.17958982400334944,0.04487675520776167,0.04487675520776169,0.74,1.0,0.08630145232261865,1.0,72739.24142,72678.42499999999,-60.81642000001739,1.7002536333333333,72733.23,WIN,0.3514,0.75,47.102453102453104,47.45,DRY
2c773d79-c581-4cb5-8445-bf725450c8fa,2026-04-10_153737,0xd6361e4bfade4576fb9a4706d49d6a37cd423b7de1ffc6789b212e549abfb1d2,2026-04-10T16:46:08.463239+00:00,2026-04-10T16:46:08.571949+00:00,2026-04-10T16:50:05.692363+00:00,BUY_NO,0.3705261885560358,0.045964247035075255,0.04596424703507529,0.55,1.0,0.051071385594528104,1.0,72741.33873669425,72708.89499999999,-32.443736694258405,3.8592879,72805.71,LOSS,-1.0,-2.11,47.45380445380446,46.45,DRY
08120c80-bc4e-4606-866a-d8280b3efc60,2026-04-10_153737,0xcca5be8fd1e5e28d308bc46c30abc8f4907623592b5229f62c694785fdb6e86c,2026-04-10T16:51:09.274225+00:00,2026-04-10T16:51:09.376846+00:00,2026-04-10T16:55:05.249640+00:00,BUY_NO,0.7948768203031484,0.05257913132599443,0.05257913132599443,0.12,1.0,0.029874506435224116,0.85,72791.27661744769,72870.41500000001,79.13838255232258,3.8456969666666665,72903.23,LOSS,-1.0,-2.15,46.45380445380446,45.45,DRY
6bf31476-bced-4568-a329-706f79591706,2026-04-10_153737,0x04eb2bba3f4b070827f0cc8f8da288b09abc1ae875424736ed66386604ec5337,2026-04-10T16:56:09.785744+00:00,2026-04-10T16:56:09.911460+00:00,2026-04-10T17:00:05.504191+00:00,BUY_NO,0.5272090827210956,0.021215983885761583,0.031215983885761578,0.41,1.0,0.02645422363200138,0.7,72922.09613,72928.58499999999,6.488869999986491,3.8372412666666667,72982.96,LOSS,-1.0,-2.2,45.45380445380446,44.45,DRY
108f5206-bfa2-4a2e-a5bc-b7c81b7bf139,2026-04-10_153737,0x817e9fd2269a3b5a71e631a6c5eaf54c10f28a94e2d7f8252efd004fa550e146,2026-04-10T17:06:19.383937+00:00,2026-04-10T17:06:19.484146+00:00,2026-04-10T17:10:05.253447+00:00,BUY_NO,0.36084225397552216,0.03943925009762074,0.039439250097620726,0.57,1.0,0.04585959313676828,0.55,72903.89420595719,72871.63,-32.26420595718082,3.6772524499999997,72874.8,WIN,0.7544,1.7,44.45380445380446,45.21,DRY
